                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1921,                 3.2249,                 1.5119,                0.85777,                0.53937,                0.71825,                0.50708,                  1.567,                 1.6278,                 1.3543,                      0,                      0,                      0
                      2,                 1.0159,                 2.8415,                 1.3645,                0.90042,                0.52478,                0.72007,                0.50916,                 1.5521,                 1.5971,                 1.3352,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                 1.0869,                 2.8675,                 1.4881,                0.90333,                0.53192,                0.72687,                0.50463,                 1.5479,                 1.5809,                 1.3281,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                0.95272,                 2.1683,                 1.3322,                0.90492,                0.53255,                0.72619,                0.50978,                 1.5617,                 1.5856,                  1.336,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                 1.1319,                 1.8419,                 1.3587,                0.90686,                0.53978,                0.70763,                0.50368,                 1.5603,                 1.5958,                  1.325,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                 1.1427,                   2.03,                 1.3312,                0.91042,                0.54491,                0.70796,                0.50446,                 1.5544,                 1.5801,                 1.3302,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                 1.0364,                 2.3374,                 1.3484,                0.91372,                   0.55,                0.74852,                0.52845,                 1.5486,                 1.5838,                 1.3207,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                 1.0339,                 2.2828,                 1.4295,                0.91415,                   0.55,                0.74887,                0.52828,                 1.5438,                 1.5906,                 1.3182,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                  1.005,                 2.7332,                 1.2549,                 0.9138,                   0.55,                0.75038,                0.55377,                 1.5304,                 1.5942,                 1.3116,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.92922,                 1.9444,                 1.2343,                0.91377,                   0.55,                0.74873,                0.54906,                 1.5432,                 1.6179,                 1.3207,             1.1674e-06,             1.1674e-06,             1.1674e-06
